,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_colision,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo
72,108370,2021-12-01,13:15:00,Urbana,Avenida,AV MAIPU,MADARIAGA,,,2.0,0,0.0,2,0.0,Lateral,2,Asfalto,Apto,Seca,Día,SI,Despejado,Buena,Sin Semáforo
73,94689,2021-11-30,07:00:00,Urbana,Avenida,AV PUJOL,ROCA,-2.751.558,-5.875.626,1.0,1,0.0,2,0.0,Angulo,2,Asfalto,Apto,"Despejada, Seca",Día,NO,,Buena,Sin Semáforo
74,95917,2021-11-29,12:20:00,Urbana,Avenida,AV 3 DE ABRIL,SAN LUIS,-2.747.466,-5.884.358,0.0,1,0.0,1,0.0,,1,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona
75,95913,2021-11-29,14:35:00,Urbana,Avenida,AV ARMENIA,,,,1.0,1,0.0,1,1.0,Alcance,2,Asfalto,Apto,Seca,Día,NO,Despejado,,Sin Semáforo
76,93028,2021-11-29,07:50:00,Urbana,Avenida,AV TTE IBANÑEZ,CORDOBA,-2.748.562,-5.883.612,1.0,1,0.0,2,0.0,Alcance,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
77,122557,2021-11-29,08:10:00,Urbana,Calle,AV. COSTANERA,,,,1.0,1,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
78,95921,2021-11-27,08:45:00,Urbana,Avenida,AV COSTANERA,QUEVEDO,-2.747.022,-5.885.390,2.0,0,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
79,119951,2021-11-27,07:30:00,Urbana,Avenida,CAZADORES CORRENTINOS,THAMES,,,0.0,2,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
80,134852,2021-11-27,14:00:00,Urbana,Avenida,AV MAIPU,GOYA,,,1.0,1,0.0,2,0.0,Lateral,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
81,114270,2021-11-25,10:45:00,Urbana,Avenida,AV MAIPU,HONDURAS,-2.748.564,-5.882.396,1.0,1,,2,,Angulo,2,Asfalto,Apto,Despejada,Día,SI,Despejado,Buena,Sin Semáforo
