id_feu,hora,zona,tipo_via,latitud,longitud,ilesos,heridos,fallecidos,peatones,tipo_siniestro,vehiculos_involucrados,material_de_la_calzada,estado_de_la_calzada,luz_artificial,condiciones_climaticas,semaforo,anio,mes,dia,cruce,lugar_del_hecho,es_colision,tipo_siniestro_para_grafico,vehiculo
49175,12:40:00,Urbana,Calle,-27.46205,-58.83497,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Lluvia,Sin Semáforo,2018,12,18,SI,MENDOZA y PLACIDO MARTINEZ,Real,Colisión entre vehículos,"Camioneta/Utilitario, Motocicleta"
49192,07:30:00,Urbana,Avenida,-27.47806,-58.81986,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Funciona,2018,12,27,SI,PEDRO FERRE y SANTA ROSA,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
48934,16:04:00,Urbana,Avenida,-27.4727,-58.81889,0.0,1.0,0.0,0.0,Caída desde vehículo,1,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,9,15,SI,AVENIDA ARTIGAS y BOLIVAR,Real,Caída desde vehículo,Motocicleta
49027,10:55:00,Urbana,Avenida,-27.47675,-58.82879,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Funciona,2018,10,20,NO,AVENIDA FERRE 1800,Real,Colisión entre vehículos,"Automóvil, Transporte de carga"
49033,09:15:00,Urbana,Calle,-27.5050014,-58.7944305,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Lluvia,Sin Semáforo,2018,10,23,SI,BOLIVAR y ITUZAINGO,Real,Colisión entre vehículos,"Automóvil, Automóvil"
49019,10:45:00,Urbana,Avenida,-27.50972,-58.81007,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,10,17,NO,AVENIDA MAIPU 3900,Real,Colisión entre vehículos,"Motocicleta, Automóvil"
48896,14:45:00,Urbana,Avenida,-27.47667,-58.81419,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,SI,Despejado,Funciona,2018,8,31,SI,AVENIDA CHACABUCO y LUIS BRAILLE,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
48967,12:05:00,Urbana,Avenida,-27.48421,-58.82496,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Funciona,2018,9,26,SI,AVENIDA MAIPU y AVENIDA LA PAZ,Real,Colisión entre vehículos,"Motocicleta, Motocicleta"
49171,13:00:00,Urbana,Avenida,-27.48697,-58.82548,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,12,16,NO,AV LA PAZ 2400,Real,Colisión entre vehículos,"Motocicleta, Transporte de carga"
48900,20:15:00,Rural,Avenida,-27.47249,-58.80767,0.0,2.0,0.0,1.0,Atropello a peatón/es,2,Hormigón,Apto,SI,Lluvia,Sin Semáforo,2018,9,1,NO,AVENIDA CENTENARIO 3458,Real,Atropello a peatón/es,"Motocicleta, Peatón"
49128,08:30:00,Urbana,Avenida,-27.49609,-58.82507,1.0,0.0,0.0,0.0,Colisión entre vehículos,1,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,12,2,SI,AV PAISANDU y PASAJE CAÑADA GOMEZ,Real,Colisión entre vehículos,Camioneta/Utilitario
49013,11:50:00,Urbana,Calle,-27.47096,-58.84092,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Nublado,Sin Semáforo,2018,10,14,NO,BUENOS AIRES 1234,Real,Colisión entre vehículos,"Motocicleta, Automóvil"
49187,10:15:00,Urbana,Avenida,-27.50888,-58.82011,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,12,23,SI,AV ALTAGRACIA y LOS ANDES,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
48865,13:45:00,Urbana,Avenida,-27.47337,-58.81333,0.0,1.0,0.0,0.0,Caída desde vehículo,1,Asfalto,Apto,SI,Despejado,Sin Semáforo,2018,8,23,NO,AV. CHACABUCO 1200,Real,Caída desde vehículo,Motocicleta
49140,11:50:00,Urbana,Avenida,-27.48096,-58.81525,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,"Despejado, Viento",Funciona,2018,12,6,SI,AV CHACABUCO y GENERAL PAZ,Real,Colisión entre vehículos,"Automóvil, Transporte de pasajeros"
49134,09:20:00,Urbana,Avenida,-27.47995,-58.82509,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,12,1,NO,AV ASUNCION 2547,Real,Colisión entre vehículos,"Camioneta/Utilitario, Transporte de carga"
48796,07:30:00,Urbana,Avenida,-27.47375,-58.8298,0.0,2.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,SI,Despejado,Funciona,2018,8,14,SI,ESPAÑA y MORENO,Real,Colisión entre vehículos,"Automóvil, Automóvil"
48824,18:30:00,Urbana,Avenida,-27.46721,-58.80884,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,SI,Despejado,Funciona,2018,8,13,SI,AVENIDA ARMENIA y FELIX AZARE,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
49034,18:30:00,Urbana,Calle,-27.48431,-58.80696,1.0,2.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Nublado,Sin Semáforo,2018,10,23,SI,LAS HERAS y TACUARI,Real,Colisión entre vehículos,"Motocicleta, Automóvil"
49114,11:00:00,Urbana,Calle,-27.47331,-58.82459,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,11,27,SI,BRASIL y BELGRANO,Real,Colisión entre vehículos,"Automóvil, Automóvil"
48918,05:45:00,Urbana,Calle,-27.47991,-58.83301,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,SI,Despejado,Sin Semáforo,2018,9,8,SI,GOBERNADOR VELAZCO y NECOCHEA,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
48933,17:45:00,Urbana,Calle,-27.49231,-58.82251,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Sin Semáforo,2018,9,17,SI,ASUNCION y JOSE HERNANDEZ,Real,Colisión entre vehículos,"Motocicleta, Motocicleta"
49135,09:05:00,Urbana,Calle,-27.47022,-58.83204,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Funciona,2018,12,2,SI,SAN MARTIN y SAN LORENZO,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
48823,15:00:00,Urbana,Avenida,-27.46631,-58.83859,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,8,8,SI,9 DE julio y SALTA,Asumido,Colisión entre vehículos,"Automóvil, Automóvil"
49053,08:20:00,Urbana,Avenida,-27.47594,-58.83536,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Funciona,2018,10,29,NO,AV. TRES D ABRIL 1300,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
49212,00:30:00,Urbana,Calle,-27.47481,-58.82091,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Sin Semáforo,2018,1,11,SI,MORENO y VELEZ SARFIELD,Real,Colisión entre vehículos,"Camioneta/Utilitario, Motocicleta"
49091,19:10:00,Urbana,Avenida,-27.47597,-58.83524,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Sin Semáforo,2018,11,15,NO,AV. TRES DE ABRIL 2057,Real,Colisión entre vehículos,"Automóvil, Camioneta/Utilitario"
49054,15:15:00,Urbana,Avenida,-27.48326,-58.79862,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Sin Semáforo,2018,10,29,NO,MEDRANO 1700,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
49168,09:20:00,Urbana,Calle,-27.47101,-58.83596,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,12,14,SI,BOLIVAR y MENDOZA,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
49143,06:10:00,Urbana,Avenida,-27.4796,-58.80644,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,"Despejado, Viento",Funciona,2018,12,7,SI,AV. INDEPENDENCIA y TACUARI,Real,Colisión entre vehículos,"Automóvil, Camioneta/Utilitario"
49071,14:40:00,Urbana,Calle,-27.46959,-58.81335,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Nublado,Sin Semáforo,2018,11,6,SI,ESTADOS UNIDOS y JUNIN,Real,Colisión entre vehículos,"Camioneta/Utilitario, Automóvil"
48962,13:50:00,Urbana,Avenida,-27.47639,-58.83254,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Nublado,Funciona,2018,9,25,SI,AV. TRES DE ABRIL y SAN LORENZO,Real,Colisión entre vehículos,"Motocicleta, Otro"
48914,17:40:00,Urbana,Calle,-27.47531,-58.83968,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,9,8,SI,AVENIDA 3 DE ABRIL y SALTA,Real,Colisión entre vehículos,"Automóvil, Transporte de pasajeros"
48944,09:00:00,Urbana,Avenida,-27.47784,-58.81973,2.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Funciona,2018,9,19,NO,PEDRO FERRE 2601,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
48870,06:36:00,Urbana,Calle,-27.48026,-58.84904,1.0,3.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,SI,Despejado,Sin Semáforo,2018,8,26,SI,LAMADRID y ELIAS ABAD,Real,Colisión entre vehículos,"Camioneta/Utilitario, Otro"
48852,21:05:00,Urbana,Avenida,-27.47905,-58.81992,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,SI,Despejado,Sin Semáforo,2018,8,20,SI,AV SANTA ROSA y ÑAEMBE,Real,Colisión entre vehículos,"Automóvil, Automóvil"
49083,14:00:00,Urbana,Avenida,-27.46457,-58.78866,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Sin Semáforo,2018,11,12,SI,AVENIDA J. R. FERNANDEZ y RIO TERCERO,Real,Colisión entre vehículos,"Motocicleta, Maquinaria"
49122,10:00:00,Urbana,Calle,-27.46864,-58.83685,3.0,0.0,0.0,0.0,Colisión entre vehículos,3,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,11,30,SI,SAN JUAN y HIRIGOYEN,Real,Colisión entre vehículos,"Automóvil, Automóvil, Automóvil"
49025,14:30:00,Urbana,Calle,-27.50473,-58.79428,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Nublado,Sin Semáforo,2018,10,19,NO,RENACIMIENTO 4600,Real,Colisión entre vehículos,"Motocicleta, Motocicleta"
49043,09:00:00,Urbana,Avenida,-27.4671,-58.79192,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Sin Semáforo,2018,10,26,SI,AV ARMENIA y QUINQUELA MARTIN,Real,Colisión entre vehículos,"Automóvil, Automóvil"
48821,20:30:00,Urbana,Avenida,-27.5021,-58.81267,0.0,2.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,8,7,NO,MAIPU 2430,Real,Colisión entre vehículos,"Motocicleta, Motocicleta"
