,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo
230,49052,2018-10-29,07:50:00,Urbana,Avenida,AV. PUJOL,JUJUY,-2.746.282,-5.882.729,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
231,49093,2018-11-16,07:30:00,Urbana,Calle,BELGRANO,SALTA,-2.747.185,-5.883.945,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
232,48815,2018-07-04,18:25:00,Urbana,Avenida,AV. ARMENIA,AV. CHACABUCO,-2.746.747,-5.881.182,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,,Nublado,Buena,Funciona
233,49016,2018-10-15,12:00:00,Urbana,Avenida,AVENIDA FERRE,,-2.747.788,-5.881.984,2,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona
234,48864,2018-08-23,12:10:00,Urbana,Avenida,CAZADORES CORRENTINOS,TACUARI,-2.748.646,-5.880.728,0,2,0,2,0,Colisión entre vehículos,2,Asfalto,Baches,Seca,Día,NO,Nublado,Buena,Funciona
235,49121,2018-11-30,09:15:00,Urbana,Avenida,AV. ARMENIA,CHACABUCO,-2.746.750,-5.881.185,3,0,0,3,0,Colisión entre vehículos,3,Asfalto,Apto,Seca,Día,NO,,,Funciona
236,48836,2018-08-11,07:55:00,Urbana,Avenida,AV MAIPU,TILCARA,-2.750.207,-5.881.277,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona
237,49066,2018-11-05,07:35:00,Urbana,Calle,25 DE mayo,,-2.746.437,-5.883.527,2,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,
238,49070,2018-11-06,08:30:00,Urbana,Avenida,AVENIDA CAZADORES CORRENTINOS,TRENTON,-2.749.057,-5.878.115,0,1,0,1,0,Colisión entre vehículos,1,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
239,49089,2018-11-15,14:00:00,Urbana,Avenida,AV. RAUL ALFONSIN,,-2.747.320,-5.880.452,2,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Despejada,Día,NO,Despejado,Buena,Funciona
240,49154,2018-12-09,10:08:00,Urbana,Avenida,AVENIDA PUJOL,,-2.746.201,-5.882.854,1,0,0,1,0,Caída desde vehículo,1,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
241,48922,2018-09-08,19:30:00,Urbana,Avenida,AVENIDA INDEPENDENCIA,GASCON,-2.748.239,-5.879.462,1,2,0,1,1,Atropello a peatón/es,2,Hormigón,Apto,Despejada,Noche,SI,Despejado,Buena,Funciona
242,48837,2018-08-11,09:15:00,Urbana,Avenida,AV INDEPENDENCIA,AV CHACABUCO,-2.747.851,-5.881.467,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Despejada,Día,NO,Despejado,Buena,Funciona
